Subject,Investment_Amount,Multiplier,Prop_Returned,Returned,Second_Order_Expectation,Fairness,Soc1,Soc2,Trial
128,5,4,0.4,8,7,6.0,5.0,6.0,5_4__7
128,8,6,0.395833333,19,14,22.0,24.0,16.0,8_6
128,3,4,0.166666667,2,3,3.0,3.0,0.0,3_4__3
128,9,6,0.407407407,22,17,27.0,27.0,18.0,9_6
128,6,4,0.416666667,10,9,8.0,7.0,8.0,6_4__4
128,1,2,0,0,1,0.0,1.0,0.0,1_2
128,10,6,0.4,24,20,30.0,30.0,20.0,10_6__3
128,5,2,0.5,5,7,3.0,5.0,0.0,5_2__4
128,5,4,0.4,8,7,6.0,5.0,6.0,5_4__8
128,4,4,0.375,6,5,4.0,4.0,4.0,4_4__4
128,3,4,0.166666667,2,3,3.0,3.0,0.0,3_4__4
129,10,4,0.5,20,20,20.0,20.0,19.0,10_4
129,4,2,0.5,4,8,4.0,4.0,3.0,4_2
129,10,4,0.5,20,20,20.0,20.0,19.0,10_4__2
129,3,4,0.333333333,4,6,6.0,6.0,5.0,3_4
129,7,4,0.5,14,14,14.0,14.0,13.0,7_4
129,4,4,0.5,8,8,8.0,8.0,7.0,4_4
129,5,6,0.3,9,10,15.0,15.0,10.0,5_6
129,2,4,0.125,1,4,4.0,4.0,3.0,2_4
129,4,6,0.208333333,5,8,12.0,12.0,8.0,4_6
129,2,6,0.333333333,4,4,6.0,6.0,4.0,2_6
129,2,2,0.25,1,4,2.0,2.0,1.0,2_2
129,7,4,0.5,14,14,14.0,14.0,13.0,7_4__2
129,3,4,0.333333333,4,6,6.0,6.0,5.0,3_4__2
129,6,4,0.416666667,10,12,12.0,12.0,11.0,6_4
129,9,4,0.388888889,14,18,18.0,18.0,17.0,9_4
129,2,4,0.25,2,4,4.0,4.0,3.0,2_4__2
129,6,2,0.416666667,5,12,6.0,6.0,5.0,6_2
129,10,6,0.3,18,20,30.0,30.0,20.0,10_6
129,5,2,0.5,5,10,5.0,5.0,4.0,5_2
129,6,4,0.416666667,10,12,12.0,12.0,11.0,6_4__2
129,5,2,0.5,5,10,5.0,5.0,4.0,5_2__2
129,3,4,0.333333333,4,6,6.0,6.0,5.0,3_4__3
129,8,2,0.5,8,16,8.0,8.0,7.0,8_2
129,5,4,0.5,10,10,10.0,10.0,9.0,5_4
129,7,6,0.30952381,13,14,21.0,21.0,14.0,7_6
129,3,2,0.5,3,6,3.0,3.0,2.0,3_2
